country,period,value
EU,2025-08,3.59
EU,2025-07,3.52
EU,2025-06,3.7
EU,2025-05,3.78
EU,2025-04,3.91
EU,2025-03,4.02
EU,2025-02,4.37
EU,2025-01,4.35
EU,2024-12,4.63
EU,2024-11,4.8
EU,2024-10,4.82
EU,2024-09,5.03
EU,2024-08,5.14
EU,2024-07,5.13
EU,2024-06,5.33
EU,2024-05,5.37
EU,2024-04,5.31
EU,2024-03,5.47
EU,2024-02,5.52
EU,2024-01,5.38
EU,2023-12,5.56
EU,2023-11,5.78
EU,2023-10,5.74
EU,2023-09,5.66
EU,2023-08,5.56
EU,2023-07,5.53
EU,2023-06,5.24
EU,2023-05,5.05
EU,2023-04,4.87
EU,2023-03,4.71
EU,2023-02,4.4
EU,2023-01,4.14
EU,2022-12,3.74
EU,2022-11,3.34
EU,2022-10,2.97
EU,2022-09,2.49
EU,2022-08,2.08
EU,2022-07,1.9
EU,2022-06,1.84
EU,2022-05,1.81
EU,2022-04,1.89
EU,2022-03,1.78
EU,2022-02,1.77
EU,2022-01,1.91
EU,2021-12,1.84
EU,2021-11,1.78
EU,2021-10,1.79
EU,2021-09,1.79
EU,2021-08,1.77
EU,2021-07,1.81
EU,2021-06,1.88
EU,2021-05,1.85
EU,2021-04,2.03
EU,2021-03,1.9
EU,2021-02,1.95
EU,2021-01,2.12
EU,2020-12,2
EU,2020-11,1.97
EU,2020-10,1.91
EU,2020-09,1.91
EU,2020-08,1.84
EU,2020-07,1.94
EU,2020-06,1.86
EU,2020-05,1.83
EU,2020-04,1.96
EU,2020-03,1.87
EU,2020-02,1.96
EU,2020-01,2.14
EU,2019-12,1.97
EU,2019-11,1.98
EU,2019-10,1.97
EU,2019-09,1.99
EU,2019-08,2.01
EU,2019-07,2.02
EU,2019-06,2.08
EU,2019-05,2.11
EU,2019-04,2.14
EU,2019-03,2.12
EU,2019-02,2.11
EU,2019-01,2.11
EU,2018-12,2.13
EU,2018-11,2.14
EU,2018-10,2.08
EU,2018-09,2.16
EU,2018-08,2.14
EU,2018-07,2.11
EU,2018-06,2.22
EU,2018-05,2.26
EU,2018-04,2.31
EU,2018-03,2.37
EU,2018-02,2.33
EU,2018-01,2.35
EU,2017-12,2.37
EU,2017-11,2.41
EU,2017-10,2.37
EU,2017-09,2.42
EU,2017-08,2.46
